,Unique ID,feature_name,Honorees,City,County,State,Side,Symbol Type,Symbol Category,Sponsors,Year Dedicated,Year Removed,Tracking Status,Latitude,Longitude
1027,409,Jeff Davis High School,Jefferson Davis,Hazlehurst,Jeff Davis,GA,South,School,Schools,Uknown,,,Live,31.868565,-82.614806
1028,412,Jeff Davis Middle School,Jefferson Davis,Hazlehurst,Jeff Davis,GA,South,School,Schools,Uknown,,,Live,31.862405,-82.620830
1029,410,Jeff Davis Primary School,Jefferson Davis,Hazlehurst,Jeff Davis,GA,South,School,Schools,Uknown,,,Live,31.871506,-82.609779
1030,566,East Beauregard Elementary School,Pierre Gustave Toutant-Beauregard,DeRidder,Beauregard,LA,South,School,Schools,Uknown,1962.0,,Live,30.744631,-93.026774
1031,565,East Beauregard High School,Pierre Gustave Toutant-Beauregard,DeRidder,Beauregard,LA,South,School,Schools,Uknown,1962.0,,Live,30.744993,-93.027104
1032,527,Fort Butler Memorial,Matthew Calbraith Butler,Donaldsonville,Ascension,LA,South,Monument,Monument,United Daughters of the Confederacy,1999.0,,Live,30.107856,-90.991472
1033,520,Fort Polk,Leonidas Polk,Fort Polk,Vernon,LA,South,Military Base,Buildings,Uknown,1941.0,,Live,31.045492,-93.200075
1034,546,Confederate Monument,No specific honoree,Franklin,St. Mary,LA,South,Monument,Courthouse Grounds,Citizens of St. Mary Parish,1913.0,,Live,29.791169,-91.499900
1035,508,Beauregard Drive,Pierre Gustave Toutant-Beauregard,Gretna,Jefferson,LA,South,Highway / Roadway,Roads,Uknown,,,Live,29.919314,-90.053241
1036,528,Jefferson Davis Highway Marker,Jefferson Davis,Gretna,Jefferson,LA,South,Monument,Monument,United Daughters of the Confederacy; City of Gretna,,,Live,29.917854,-90.066474
1037,547,Confederate Monument,No specific honoree,Homer,Claiborne,LA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1940.0,,Live,32.791367,-93.055233
1038,503,Jefferson Davis Street,Jefferson Davis,Houma,Terrebonne,LA,South,Highway / Roadway,Roads,Uknown,,,Live,29.607723,-90.724412
1039,1000,City of Kershaw,Joseph B. Kershaw,Kershaw,Lancaster,SC,South,City,County/Municipality,Uknown,1888.0,,Live,34.547593,-80.581750
1040,967,"Confederate Soldier, Williamsburg County",No specific honoree,Kingstree,Williamsburg,SC,South,Monument,Monument,United Daughters of the Confederacy,1910.0,,Live,33.663429,-79.830773
1041,3102,Jackson Street,"Thomas Jonathan ""Stonewall"" Jackson",Kingstree,Williamsburg,SC,South,Highway / Roadway,Roads,Uknown,,,Live,33.661826,-79.831263
1042,3103,Longstreet St,James Longstreet,Kingstree,Williamsburg,SC,South,Highway / Roadway,Roads,Uknown,,,Live,33.661267,-79.832755
1043,909,Beauregard Street,Pierre Gustave Toutant-Beauregard,Lake City,Florence,SC,South,Highway / Roadway,Roads,Uknown,,,Live,33.867846,-79.759996
1044,900,Confederate Avenue,No specific honoree,Lancaster,Lancaster,SC,South,Highway / Roadway,Roads,Uknown,,,Live,34.693193,-80.820948
1045,3061,Hood Street,John Bell Hood,Lancaster,Lancaster,SC,South,Highway / Roadway,Roads,Uknown,,,Live,34.723225,-80.773278
1046,990,Our Confederate Soldiers,No specific honoree,Lancaster,Lancaster,SC,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1909.0,,Live,34.720200,-80.770800
1047,968,Laurens Confederate Monument,No specific honoree,Laurens,Laurens,SC,South,Monument,Monument,United Daughters of the Confederacy,1910.0,,Live,34.498883,-82.014317
1048,991,Lexington Confederate Monument,No specific honoree,Lexington,Lexington,SC,South,Monument,Courthouse Grounds,Women of Lexington County,1886.0,,Live,33.980550,-81.236117
1049,1015,Jeff Davis Lane,Jefferson Davis,Sardis,Henderson,TN,South,Highway / Roadway,Roads,Uknown,,,Live,35.367258,-88.318406
1050,1073,Confederate Monument,No specific honoree,Savannah,Hardin,TN,South,Monument,Courthouse Grounds,Sons of Confederate Veterans,1995.0,,Live,35.225000,-88.250750
1051,1074,Confederate Monument,No specific honoree,Selmer,McNairy,TN,South,Monument,Courthouse Grounds,Sons of Confederate Veterans,1994.0,,Live,35.170891,-88.593654
1052,1075,DeKalb County Confederate Monument,No specific honoree,Smithville,DeKalb,TN,South,Monument,Courthouse Grounds,Sons of Confederate Veterans,1996.0,,Live,35.960600,-85.813200
1053,1980,General Barksdale Drive,William Barksdale,Smyrna,Rutherford,TN,South,Highway / Roadway,Roads,Uknown,,,Live,35.945158,-86.535271
1054,1982,General Featherstone [sic] Drive,Winfield S. Featherston,Smyrna,Rutherford,TN,South,Highway / Roadway,Roads,Uknown,,,Live,35.943577,-86.532866
1055,1979,General Forrest Drive,Nathan Bedford Forrest,Smyrna,Rutherford,TN,South,Highway / Roadway,Roads,Uknown,,,Live,35.942830,-86.530140
1056,1981,General Palmer Drive,Joseph B. Palmer,Smyrna,Rutherford,TN,South,Highway / Roadway,Roads,Uknown,,,Live,35.942985,-86.531723
1057,1027,Jeb Stuart Drive,"James Ewell Brown ""Jeb"" Stuart",Smyrna,Rutherford,TN,South,Highway / Roadway,Roads,Uknown,,,Live,36.008059,-86.494167
1058,5013,Deshler Career Technical Center,James Deshler,Tuscumbia,Colbert,AL,South,School,Schools,Uknown,,,Live,34.738067,-87.702130
1059,3174,Deshler High School,James Deshler,Tuscumbia,Colbert,AL,South,School,Schools,City of Tuscumbia,1950.0,,Live,34.738670,-87.701589
1060,5014,Deshler Middle School,James Deshler,Tuscumbia,Colbert,AL,South,School,Schools,Uknown,,,Live,34.738566,-87.696943
1061,5015,Joe Wheeler Drive,Joseph Wheeler,Tuscumbia,Colbert,AL,South,Highway / Roadway,Roads,Uknown,,,Live,34.722637,-87.695707
1062,5016,Old Lee Highway,Robert E. Lee,Tuscumbia,Colbert,AL,South,Highway / Roadway,Roads,Uknown,,,Live,34.715493,-87.732582
1063,74,Tuskegee Confederate Monument,No specific honoree,Tuskegee,Macon,AL,South,Monument,Monument,United Daughters of the Confederacy,1906.0,,Live,32.424080,-85.690879
1064,8,Bullock County,Edward C. Bullock,Union Springs,Bullock,AL,South,County/Municipality,County/Municipality,Uknown,1866.0,,Live,32.145335,-85.716127
1065,95,City of Wheeler,Joseph Wheeler,Wheeler,Lawrence,AL,South,City,County/Municipality,Uknown,,,Live,34.654470,-87.250244
1066,144,Arkadelphia Confederate Monument,No specific honoree,Arkadelphia,Clark,AR,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1911.0,,Live,34.118622,-93.051101
1067,124,Batesville Confederate Monument,No specific honoree,Batesville,Independence,AR,South,Monument,Monument,United Daughters of the Confederacy; United Confederate Veterans,1907.0,,Live,35.770424,-91.653176
1068,3168,Early Street,Jubal Anderson Early,New Market,Shenandoah,VA,South,Highway / Roadway,Roads,Uknown,,,Live,38.644206,-78.676863
1069,3169,Lee Highway,Robert E. Lee,New Market,Shenandoah,VA,South,Highway / Roadway,Roads,Uknown,,,Live,38.647849,-78.658623
1070,1277,Lee Street,Robert E. Lee,New Market,Shenandoah,VA,South,Highway / Roadway,Roads,Uknown,,,Live,38.646007,-78.670980
1071,1275,Stonewall Street,"Thomas Jonathan ""Stonewall"" Jackson",New Market,Shenandoah,VA,South,Highway / Roadway,Roads,Uknown,,,Live,38.642949,-78.676616
