Title,City or Town,County or Parish,Street Address,Year Erected,Erected By,Link
Manassas Gap Railroad Independent Line,Centreville,Fairfax County,,2003,The Fairfax County History Commission,http://www.hmdb.org/m.asp?m=655
Abraham Lincoln s Father,Harrisonburg,Rockingham County,,1942,the Virginia Conservation Commission,http://www.hmdb.org/m.asp?m=656
McLean Farm,Manassas,Prince William County,7520 Centreville Road,1988,Prince William County Historical Commission,http://www.hmdb.org/m.asp?m=657
The Unfinished Railroad,Manassas,Prince William County,,,,http://www.hmdb.org/m.asp?m=658
The Unfinished Railroad,Manassas,Prince William County,,,,http://www.hmdb.org/m.asp?m=659
Frontier Fort,Strasburg,Shenandoah County,551 N Massanutten Street,1991,Frank R. Hupp,http://www.hmdb.org/m.asp?m=660
Banks  Fort,Strasburg,Shenandoah County,,1927,Conservation & Development Commission,http://www.hmdb.org/m.asp?m=662
The Unfinished Railroad,Manassas,Prince William County,,,,http://www.hmdb.org/m.asp?m=663
Birthplace of Sidney Lanier,Macon,Bibb County,935 High Street,1975,Georgia Historic Marker,http://www.hmdb.org/m.asp?m=664
Rowser s Ford,Seneca,Montgomery County,,,the Maryland Civil War Centennial Commission,http://www.hmdb.org/m.asp?m=665
Gettysburg Campaign,Myersville,Washington County,,,,http://www.hmdb.org/m.asp?m=670
1862 Antietam Campaign,Myersville,Washington County,,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=674
Civil War Fortifications,Centreville,Fairfax County,13860 Braddock Road,1989,NVRetail Incorporated,http://www.hmdb.org/m.asp?m=679
Fort Frederick,Clear Spring,Washington County,,,State Roads Commission,http://www.hmdb.org/m.asp?m=680
Fort Frederick,Big Pool,Washington County,,,State Roads Commission,http://www.hmdb.org/m.asp?m=681
Gen. J. E. B. Stuart s,Clear Spring,Washington County,,,State Roads Commission,http://www.hmdb.org/m.asp?m=682
Major General Charles Griffin,Granville,Licking County,3271 Worthington Road SW,1999,a Neff family donation to the People of Granville. and The Ohio Historical Society.,http://www.hmdb.org/m.asp?m=688
Gettysburg Campaign,Clear Spring,Washington County,,,,http://www.hmdb.org/m.asp?m=695
Signal Hill Monument,Manassas Park,Manassas Park,,,Signal Corps Association (1860-1865),http://www.hmdb.org/m.asp?m=696
Site of Manassas Junction,Manassas,Manassas,,,City of Manassas,http://www.hmdb.org/m.asp?m=700
McNeill s Raid,Cumberland,Allegany County,,,,http://www.hmdb.org/m.asp?m=716
Gettysburg Campaign,Hancock,Washington County,,,,http://www.hmdb.org/m.asp?m=718
Gettysburg Campaign,Hancock,Washington County,,,,http://www.hmdb.org/m.asp?m=719
Conner House,Manassas,Manassas,8220 Conner Dr,,Civil War Trails,http://www.hmdb.org/m.asp?m=738
St. Thomas Church,Hancock,Washington County,,,the State Roads Commission,http://www.hmdb.org/m.asp?m=739
Rude s Hill,New Market,Shenandoah County,,1927,The Shenandoah Chapter. United Daughters of the Confederacy,http://www.hmdb.org/m.asp?m=740
White s Ferry,Dickerson,Montgomery County,,,National Park Service. U.S. Department of the Interior,http://www.hmdb.org/m.asp?m=741
Point of Rocks,Point of Rocks,Frederick County,,,,http://www.hmdb.org/m.asp?m=743
Point of Rocks,Point of Rocks,Frederick County,,,,http://www.hmdb.org/m.asp?m=744
Rowser s Ford,Seneca,Montgomery County,,,,http://www.hmdb.org/m.asp?m=761
Events Along Neabsco Creek,Woodbridge,Prince William County,,1976,the Prince William County Historical Commission,http://www.hmdb.org/m.asp?m=771
Old Bennett School,Manassas,Manassas,,1994,Department of Historic Resources,http://www.hmdb.org/m.asp?m=772
Minnieville,Woodbridge,Prince William County,,1978,the Prince William County Historical Commission,http://www.hmdb.org/m.asp?m=774
Fifth Prince William County Courthouse,Manassas,Manassas,,1994,Department of Historic Resources,http://www.hmdb.org/m.asp?m=778
Brentsville,Bristow,Prince William County,12235 Bristow Road,1980,the Prince William Historical Commission,http://www.hmdb.org/m.asp?m=780
Battle of Bristoe Station,Bristow,Prince William County,,1994,the Department of Historic Resources,http://www.hmdb.org/m.asp?m=782
The Confederate Hospital,Mount Jackson,Shenandoah County,5534 Main St,1998,the Department of Historic Resources,http://www.hmdb.org/m.asp?m=786
Our Soldiers  Cemetery,Mount Jackson,Shenandoah County,,1997,the Department of Historic Resources,http://www.hmdb.org/m.asp?m=787
McNeill s Last Charge,Mount Jackson,Shenandoah County,,1999,the Department of Historic Resources,http://www.hmdb.org/m.asp?m=789
Christ Reformed Church,Middletown,Frederick County,,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=796
White House Bridge,Luray,Page County,,,Virginia Civil War Trails,http://www.hmdb.org/m.asp?m=799
