Title,City or Town,County or Parish,Street Address,Year Erected,Erected By,Link
Adair County. Missouri Courthouses,Kirksville,Adair County,106 West Washington Street,2008,Adair County Historical Society,http://www.hmdb.org/m.asp?m=144751
Ruins of First State Prison in Illinois,Alton,Madison County,217 William Street,1950,Illinois State Historical Society,http://www.hmdb.org/m.asp?m=144762
Battle of Guyandotte,Huntington,Cabell County,234 Guyan Street,,West Virginia Civil War Trails,http://www.hmdb.org/m.asp?m=144784
Fifth Branch Bank Building,Lexington,Lafayette County,801 Main Street,,Lexington County Historical Society,http://www.hmdb.org/m.asp?m=144786
Confederate Memorial,Purcell,McClain County,,1906,Mrs. Stonewall Jackson Chapter No. 550 United Daughters of the Confederacy,http://www.hmdb.org/m.asp?m=144840
Fort Clinch Military Road,Fernandina Beach,Nassau County,715 San Fernando St,,Florida State Parks and Friends of Fort Clinch,http://www.hmdb.org/m.asp?m=144854
Traveler Was Tethered on This Spot,Berryville,Clarke County,,,E.V. White Chapter. MOSB and Sons of Confederate Veterans Camps Nos. 21 and 1567,http://www.hmdb.org/m.asp?m=144857
Grant s March to Naples,Naples,Scott County,212 Bob Michael Street,,Naples Terminal Co.. Illinois Train Corp.. and Mr. & Mrs. Richard Lizemby,http://www.hmdb.org/m.asp?m=144862
Village of Maeystown,Maeystown,Monroe County,1113 Mill Street,,Maeystown Preservation Society,http://www.hmdb.org/m.asp?m=144864
United States Military Hospital,Mound City,Pulaski County,238 Main Street,1961,Illinois State Historical Society,http://www.hmdb.org/m.asp?m=144868
The Marine Ways,Mound City,Pulaski County,517 Walnut Street,1935,The State of Illinois (later the Illinois State Historical Society),http://www.hmdb.org/m.asp?m=144869
Cairo. Illinois,Cairo,Alexander County,,1964,Illinois Department of Transportation and the Illinois State Historical Society,http://www.hmdb.org/m.asp?m=144870
Historic Heights,Harpers Ferry,Jefferson County,,,,http://www.hmdb.org/m.asp?m=144875
The Old Fire Bell,Mound City,Pulaski County,307 Walnut Street,1954,Mound City Womans Club,http://www.hmdb.org/m.asp?m=144876
The Plaza,Fernandina Beach,Nassau County,715 San Fernando St,,Florida State Parks. Friends of Fort Clinch and the Amelia Island Museum of History,http://www.hmdb.org/m.asp?m=144885
Battle of Munford,Munford,Talladega County,Jenifer Road,,Major General Patrick R. Cleburne Chapter. United Daughters of the Confederacy.,http://www.hmdb.org/m.asp?m=144902
A.J. Buttram Monument,Munford,Talladega County,Jenifer Road,1914,John Tyler Morgan Chapter. United Daughters of the Confederacy and Veterans and their Descendants,http://www.hmdb.org/m.asp?m=144904
Battle of Maryland Heights,Brownsville,Washington County,,2012,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=144916
Godfrey Cemetery,Godfrey,Madison County,,2019,Benjamin Godfrey Legacy Trail Committee (sponsored by Dennis & Karen Wilson),http://www.hmdb.org/m.asp?m=144940
St. Luke s Episcopal Church,Brownsville,Washington County,2150 Boteler Road,,,http://www.hmdb.org/m.asp?m=144951
Brownsville-Burkittsville Pass,Brownsville,Washington County,,,Maryland Civil War Centennial Commission,http://www.hmdb.org/m.asp?m=144952
Crampton Gap,Gapland,Washington County,,,Maryland Historical Trust. Maryland State Highway Administration,http://www.hmdb.org/m.asp?m=144954
The Civil War Comes to St. Marys,St. Marys,Camden County,101 Bartlett St,2016,Charlie & Mary Smith,http://www.hmdb.org/m.asp?m=144971
The Civil War: Local People,St. Marys,Camden County,101 Bartlett St,2016,The Lundin & Thurner Families,http://www.hmdb.org/m.asp?m=144976
The Civil War: Local Landmarks,St. Marys,Camden County,101 Bartlett St,2016,Cumberland Home & Hearth and Cumberland Gas,http://www.hmdb.org/m.asp?m=144986
Corinth Civil War Memorial,Corinth,Saratoga County,600 Palmer Avenue,,,http://www.hmdb.org/m.asp?m=144989
Fort Machias/OBrien,Machiasport,Washington County,,,Maine Department of Conservation Bureau of Parks and Lands,http://www.hmdb.org/m.asp?m=145018
Wyborn Cemetery,Syracuse,Onondaga County,957 Salt Springs Rd,,Onondaga Historical Association. William G. Pomeroy Foundation,http://www.hmdb.org/m.asp?m=145045
Camp Jackson,Midtown,St. Louis,10 North Compton Avenue,,,http://www.hmdb.org/m.asp?m=145064
To Those Men of the North End / Thomas Cass,Boston,Suffolk County,,,,http://www.hmdb.org/m.asp?m=145068
For God and Country,East Syracuse,Onondaga County,204 N Center St,1937,Post No. 359 American Legion,http://www.hmdb.org/m.asp?m=145120
Boteler s Ford Tablet B. F. 1,Shepherdstown,Jefferson County,,,,http://www.hmdb.org/m.asp?m=145153
Christiana United Methodist Church,Christiana,New Castle County,21 W. Main St.,1997,Delaware Public Archives,http://www.hmdb.org/m.asp?m=145164
Allstadt House,Harpers Ferry,Jefferson County,,,West Virginia Civil War Trails,http://www.hmdb.org/m.asp?m=145216
Jones Raid,Rivesville,Marion County,,,,http://www.hmdb.org/m.asp?m=145284
A Masterful Retreat,Grayson,Carter County,,1963,Kentucky Historical Society and Kentucky Department of Transportation.,http://www.hmdb.org/m.asp?m=145350
Settlement Community,Texas City,Galveston County,117 S Bell Dr,2007,Texas Historical Commission,http://www.hmdb.org/m.asp?m=145355
Pamunkey Indians In The Civil War,Manquin,King William County,,2016,Department of Historic Resources,http://www.hmdb.org/m.asp?m=145380
Camp DuPont,Wilmington,New Castle County,,1966,Civil War Centennial Commission,http://www.hmdb.org/m.asp?m=145423
Creswell Hall,Elkton,Cecil County,,,Maryland Civil War Centennial Commission,http://www.hmdb.org/m.asp?m=145436
Wilna,Elkton,Cecil County,,,Maryland Civil War Centennial Commission. Maryland Historical Trust. Maryland State Highway Administration,http://www.hmdb.org/m.asp?m=145439
John A. J. Creswell,Port Deposit,Cecil County,,,Maryland Historical Society and Maryland Historical Trust,http://www.hmdb.org/m.asp?m=145442
History or Memory?,Sharpsburg,Washington County,18422 Shepherdstown Pike,,National Park Service,http://www.hmdb.org/m.asp?m=145454
President Street Station,Harbor East,Baltimore,601 South President Street,,City of Baltimore,http://www.hmdb.org/m.asp?m=145578
Isham G. Harris,Tullahoma,Franklin County,,,Tennessee Historical Commission,http://www.hmdb.org/m.asp?m=145586
Richards Oak,Rising Sun,Cecil County,1769 Conowingo Road,,Maryland Historical Society,http://www.hmdb.org/m.asp?m=145616
Avon Civil War Monument,Avon,Livingston County,,,,http://www.hmdb.org/m.asp?m=145705
War on the Big Sandy,Paintsville,Johnson County,230 Court St,1963,Kentucky Historical Society and Kentucky Department of Highways,http://www.hmdb.org/m.asp?m=145722
Stalemate,Doswell,Hanover County,11576 Verdon Rd,2014,Blue & Gray Education Society. Hanover County Parks and Recreation Department,http://www.hmdb.org/m.asp?m=145740
Grant Reacts,Doswell,Hanover County,11576 Verdon Rd,2014,Blue & Gray Education Society. Hanover County Parks and Recreation Department,http://www.hmdb.org/m.asp?m=145741
River War,Doswell,Hanover County,11576 Verdon Rd,2014,Blue & Gray Education Society. Hanover County Parks and Recreation Department,http://www.hmdb.org/m.asp?m=145742
Reinforcements Arrive,Doswell,Hanover County,11576 Verdon Rd,2014,Blue & Gray Education Society. Hanover County Parks and Recreation Department,http://www.hmdb.org/m.asp?m=145749
Death Under The Trees,Doswell,Hanover County,11576 Verdon Rd,2014,Blue & Gray Education Society. Hanover County Parks and Recreation Department,http://www.hmdb.org/m.asp?m=145750
Deadly Skirmishing,Doswell,Hanover County,11576 Verdon Rd,2014,Blue & Gray Education Society. Hanover County Parks and Recreation Department,http://www.hmdb.org/m.asp?m=145751
Gri&#64259;ns Artillery,Doswell,Hanover County,11576 Verdon Rd,2014,Blue & Gray Education Society. Hanover County Parks and Recreation Department,http://www.hmdb.org/m.asp?m=145752
Homestead Manor,Thompsons Station,Williamson County,4683 Columbia Pike,1977,Williamson County Historical Society,http://www.hmdb.org/m.asp?m=145755
Surrender of Nashville 612 Woodland Street,Nashville,Davidson County,612 Woodland Street,2016,The Historical Commission of Metropolitan Nashville and Davidson County,http://www.hmdb.org/m.asp?m=145784
Morgan s Last Raid,Paintsville,Johnson County,,1964,Kentucky Historical Society and Kentucky Department of Highways,http://www.hmdb.org/m.asp?m=145795
Legends in Blue and Gray,Salyersville,Magoffin County,191 S Church St,,,http://www.hmdb.org/m.asp?m=145799
Central Florida Cattlemen,Geneva,Seminole County,1350 Snow Hill Rd,,Seminole County Historical Commission,http://www.hmdb.org/m.asp?m=145861
Perryville,Perryville,Cecil County,,,,http://www.hmdb.org/m.asp?m=145865
Repasz Band,Williamsport,Lycoming County,,2017,Pennsylvania Historical and Museum Commission,http://www.hmdb.org/m.asp?m=145870
Snow s Battery,Port Deposit,Cecil County,,,VFW Post 8185. Cecil County Historical Trust. Port Deposit Heritage Corporation,http://www.hmdb.org/m.asp?m=145871
Snows Battery,Port Deposit,Cecil County,,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=145880
The Perryville Mule School,Perryville,Cecil County,,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=145891
To Serve and Defend / Brown V. Board of Education of Topeka,Hyattsville,Prince Georges County,6525 Belcrest Road,,,http://www.hmdb.org/m.asp?m=145904
Lamartine Place Historic District,New York,New York County,339 West 29th Street,,New York Landmarks Preservation Foundation,http://www.hmdb.org/m.asp?m=145911
The Gettysburg Address / The Emancipation Proclamation,Hyattsville,Prince Georges County,6525 Belcrest Road,,,http://www.hmdb.org/m.asp?m=145921
The Battle of Franklin,Franklin,Williamson County,,,,http://www.hmdb.org/m.asp?m=145948
Old Lacombe Hotel Site,Opelousas,St. Landry Parish,,2015,City of Opelousas. Preserve America Grant. National Park Service. United Department of the Interior.,http://www.hmdb.org/m.asp?m=145949
Reuben Patrick Grave,Bradley,Magoffin County,,1966,Kentucky Historical Society and Kentucky Department of Highways,http://www.hmdb.org/m.asp?m=145952
Rose Hill Cemetery,Hagerstown,Washington County,600 South Potomac Street,,Rose Hill Cemetery,http://www.hmdb.org/m.asp?m=145990
1850-1870,Hagerstown,Washington County,9 West Memorial Boulevard,,,http://www.hmdb.org/m.asp?m=145997
Address by President Lincoln,Bushnell,Sumter County,6502 SW 102nd Avenue,,,http://www.hmdb.org/m.asp?m=146016
Franklin Town Square,Franklin,Williamson County,106 3rd Ave N,,,http://www.hmdb.org/m.asp?m=146043
Civil War Event,Prestonburg,Floyd County,165 W Court St,,Tour Southern and Eastern Kentucky .com,http://www.hmdb.org/m.asp?m=146051
Island Veterans of the Civil War / Americas 1st Amphibious Assault of the Civil War,Hatteras,Dare County,,,,http://www.hmdb.org/m.asp?m=146058
1930-1950,Hagerstown,Washington County,9 West Memorial Boulevard,,,http://www.hmdb.org/m.asp?m=146064
Hagerstonians in the Civil War,Hagerstown,Washington County,163 South Prospect Street,,Maryland Heritage Area Authority,http://www.hmdb.org/m.asp?m=146073
Hagerstonians in the Civil War,Hagerstown,Washington County,465 North Potomac Street,,Maryland Heritage Area Authority,http://www.hmdb.org/m.asp?m=146081
North Market Street,Frederick,Frederick County,124 North Market Street,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=146084
156th Regiment N.Y.S.V. Infantry,Highland,Ulster County,,1908,,http://www.hmdb.org/m.asp?m=146098
U.S. Colored Troops (USCT),Franklin,Williamson County,,,,http://www.hmdb.org/m.asp?m=146135
Col. John Dils. Jr.,Pikeville,Pike County,223 Main Street,2016,Kentucky Historical Society and Kentucky Department of Highways. Presented by Pike County Tourism.,http://www.hmdb.org/m.asp?m=146142
James A. Garfield,Pikeville,Pike County,,,Kentucky Department of Highways,http://www.hmdb.org/m.asp?m=146169
Garfield at Piketon,Pikeville,Pike County,,,,http://www.hmdb.org/m.asp?m=146170
Educator. Soldier. Congressman. President,Pikeville,Pike County,,,,http://www.hmdb.org/m.asp?m=146171
Barnesville,Barnesville,Montgomery County,18230 Barnesville Road,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=146190
Texas Newspapers. C.S.A.,Austin,Travis County,718 West 5th Street,1971,the State Historical Survey Committee,http://www.hmdb.org/m.asp?m=146219
New York of the Presidents,New York,New York County,3 East 66th Street,1965,The New York Community Trust,http://www.hmdb.org/m.asp?m=146259
Louisa May Alcott,Newtown Square,Delaware County,500 Charles Ellis Lane,,,http://www.hmdb.org/m.asp?m=146269
Harris-McEwan House,Franklin,Williamson County,611 Fair Street,,,http://www.hmdb.org/m.asp?m=146271
Fight or Die,Olustee,Baker County,5815 Battlefield Trail,,Florida Department of Environmental Protection.,http://www.hmdb.org/m.asp?m=146282
The Battle Intensifies,Olustee,Baker County,Battlefield Trail (17 Mile Camp Road),,Florida Department of Environmental Protection.,http://www.hmdb.org/m.asp?m=146286
Confusion Under Fire,Olustee,Baker County,5815 Battlefield Trail,,Florida Department of Environmental Protection.,http://www.hmdb.org/m.asp?m=146294
The Battle Rages,Olustee,Baker County,5815 Battlefield Trail,,Florida Department of Environmental Protection.,http://www.hmdb.org/m.asp?m=146298
A Bloody Massacre,Olustee,Baker County,5815 Battlefield Trail,,Florida Department of Environmental Protection.,http://www.hmdb.org/m.asp?m=146303
Hold That Line,Olustee,Baker County,5815 Battlefield Trail,,Florida Department of Environmental Protection.,http://www.hmdb.org/m.asp?m=146311
Retreat,Olustee,Baker County,5815 Battlefield Trail,,Florida Department of Environmental Protection.,http://www.hmdb.org/m.asp?m=146317
Cries and Cheers,Olustee,Baker County,5815 Battlefield Trail,,Florida Department of Environmental Protection.,http://www.hmdb.org/m.asp?m=146329
Artillery Thunder,Keslers Cross Lanes,Nicholas County,1194 Carnifex Ferry Road,,Carnifex Ferry Battlefield State Park,http://www.hmdb.org/m.asp?m=146330
Battle of Olustee Union Memorial,Olustee,Baker County,Michael Cason Road,1991,Union Army District of Fla,http://www.hmdb.org/m.asp?m=146335
Professor Charles Torrey Simpson/Professor Charles Torrey Simpson Park,Miami,Miami-Dade County,55 SW 17th Road,2017,Mayor Thomas Regalado. The City of Miami in Coordination with Alexander Adams and the Florida Department of State,http://www.hmdb.org/m.asp?m=146361
10 Lb. Parrott Rifle,Hillsboro,Pocahontas County,683 Droop Park Road,,Droop Mountain Battlefield State Park,http://www.hmdb.org/m.asp?m=146374
General Charles King,King,Waupaca County,,1999,the Wisconsin Historical Society,http://www.hmdb.org/m.asp?m=146391
Youngers Bend,Porum,McIntosh County,,2013,Oklahoma Historical Society and Dr. Ron and Donna Hood,http://www.hmdb.org/m.asp?m=146401
Fairmount Pioneer Cemetery,Glendora,Los Angeles County,,2019,Platrix Chapter No. 2 of the Ancient and Honorable Order of E Clampus Vitus. and Fairmount Pioneer Cemetery Foundation Trustees.,http://www.hmdb.org/m.asp?m=146425
Quicksand &#8212; 1864,Quicksand,Breathitt County,,1965,Kentucky Historical Society and Kentucky Department of Highways,http://www.hmdb.org/m.asp?m=146426
Forrests Artillery,Eva,Benton County,2898 Pilot Knob Road,,Tennessee State Parks,http://www.hmdb.org/m.asp?m=146438
Injuring Sherman,Eva,Benton County,2898 Pilot Knob Road,,Tennessee State Parks,http://www.hmdb.org/m.asp?m=146440
Nathan Bedford Forrest Monument,Eva,Benton County,2898 Pilot Knob Road,,,http://www.hmdb.org/m.asp?m=146443
Battle of Johnsonville,Eva,Benton County,2898 Pilot Knob Road,,,http://www.hmdb.org/m.asp?m=146444
Bitter Antagonism,Jackson,Breathitt County,,1964,Kentucky Historical Society and Kentucky Department of Highways,http://www.hmdb.org/m.asp?m=146468
Riverview Cemetery,Trenton,Mercer County,,2004,New Jersey Department of Transportation,http://www.hmdb.org/m.asp?m=146472
Carter Gin House,Franklin,Williamson County,,1995,Save the Franklin Battlefield Inc. Williamson County Historical Society,http://www.hmdb.org/m.asp?m=146527
USA Gens. Morgan CSA,Hazel Green,Wolfe County,,1963,Kentucky Historical Society and Kentucky Department of Highways,http://www.hmdb.org/m.asp?m=146528
Battle of Franklin,Franklin,Williamson County,across from 1327 Columbia Avenue,,,http://www.hmdb.org/m.asp?m=146530
Federal Forward Line,Franklin,Williamson County,1504 Columbia Avenue,,Salt Creek Civil War Round Table Wheaton. Il. Save the Franklin Battlefield. Inc.,http://www.hmdb.org/m.asp?m=146531
Battle Ground Academy,Franklin,Williamson County,,,Williamson County Historical Society,http://www.hmdb.org/m.asp?m=146536
Battle of Port Gibson,Port Gibson,Claiborne County,,,,http://www.hmdb.org/m.asp?m=146559
Former Site. Columbian Harmony Cemetery,Brentwood,Washington,,,,http://www.hmdb.org/m.asp?m=146576
Mary Kate Patterson,La Vergne,Rutherford County,158 Fergus Drive,,Tennessee Civil War Trails,http://www.hmdb.org/m.asp?m=146609
Greene Civil War Memorial,Greene,Chenango County,,,,http://www.hmdb.org/m.asp?m=146615
Union University,Murfreesboro,Rutherford County,701 E Main St,,Tennessee Historical Commission,http://www.hmdb.org/m.asp?m=146623
Joseph B. Palmer,Murfreesboro,Rutherford County,429 E Main St,,Tennessee Historical Commission,http://www.hmdb.org/m.asp?m=146627
State Capitol,Murfreesboro,Rutherford County,,,Tennessee Historical Commission,http://www.hmdb.org/m.asp?m=146629
Bainbridge New York Civil War Memorial,Bainbridge,Chenango County,,1904,The Hon. Henry A. Clark,http://www.hmdb.org/m.asp?m=146630
Olympian Springs,Mud Lick,Bath County,4085 Mud Lick Rd,1970,Kentucky Historical Society and Kentucky Department of Highways,http://www.hmdb.org/m.asp?m=146665
Camden Civil War Memorial,Camden,Camden County,,,,http://www.hmdb.org/m.asp?m=146675
Forrests Murfreesboro Raid Casualties,Murfreesboro,Rutherford County,,,,http://www.hmdb.org/m.asp?m=146735
The Presbyterian Church of Murfreesboro,Murfreesboro,Rutherford County,,1933,Col. Hardy Murfree Chapter. National Society of the Daughters of the American Revolution,http://www.hmdb.org/m.asp?m=146736
Federal Troops on the Square,Murfreesboro,Rutherford County,,,Rutherford County. Tennessee,http://www.hmdb.org/m.asp?m=146741
The Square During Occupation,Murfreesboro,Rutherford County,,,Rutherford County. Tennessee,http://www.hmdb.org/m.asp?m=146745
Forrests Murfreesboro Raid,Murfreesboro,Rutherford County,,,Tennessee Historical Commission,http://www.hmdb.org/m.asp?m=146752
Sesquicentennial Sagebrush Sculpture & Time Capsule,Elko,Elko County,,,,http://www.hmdb.org/m.asp?m=146799
Eastern Flank Battlefield Park,Franklin,Williamson County,1368 Eastern Flank Circle,,,http://www.hmdb.org/m.asp?m=146808
Forrests Raid,Waynesboro,Wayne County,,,Tennessee Historical Commission,http://www.hmdb.org/m.asp?m=146822
Admiral Farragut Monument,New York,New York County,11 Madison Avenue,,,http://www.hmdb.org/m.asp?m=146842
Civil War Grave Markers,Waterloo,Monroe County,,,,http://www.hmdb.org/m.asp?m=146844
Keeter Cemetery,Boyd,Wise County,,1993,Texas Historical Commission,http://www.hmdb.org/m.asp?m=146879
George Lafayette Ramsdale,Paradise,Wise County,,1985,Texas Historical Commission,http://www.hmdb.org/m.asp?m=146880
Dr. M. W. Matthews,Paradise,Wise County,,1971,State Historical Survey Committee,http://www.hmdb.org/m.asp?m=146921
Welcome to Winstead Hill Park,Franklin,Williamson County,4023 Columbia Ave,,City of Franklin,http://www.hmdb.org/m.asp?m=146925
A National Cemetery System,Nashville,Davidson County,1420 Gallatin Pike S,,U.S. Department of Veterans Affairs - National Cemetery Administration,http://www.hmdb.org/m.asp?m=146936
Protecting Our Historic Resources,Franklin,Williamson County,4023 Columbia Ave,,City of Franklin,http://www.hmdb.org/m.asp?m=146956
Address by President Lincoln at the Dedication of The Gettysburg National Cemetery,Nashville,Davidson County,1420 Gallatin Pike South,,,http://www.hmdb.org/m.asp?m=146957
Alabama,Franklin,Williamson County,4023 Columbia Ave,,Alabama Division. Sons of Confederate Veterans Mechanized Cavalry. 1st Battalion. Company D,http://www.hmdb.org/m.asp?m=147004
Sugarloaf Mountain,Stronghold,Montgomery County,7901 Comus Road,,Maryland Civl War Trails,http://www.hmdb.org/m.asp?m=147010
Welcome to Fort Buhlow,Pineville,Rapides Parish,,,,http://www.hmdb.org/m.asp?m=147024
William M. Rice,Azle,Tarrant County,300 S Stewart Street,1984,Texas Historical Commission,http://www.hmdb.org/m.asp?m=147092
Battle of Nashville,Nashville,Davidson County,4613 Lealand Lane,1967,The Historical Commission of Metropolitan Nashville and Davidson County,http://www.hmdb.org/m.asp?m=147098
Approach to Shiloh,Adamsville,McNairy County,,,Tennessee Historical Commission,http://www.hmdb.org/m.asp?m=147153
Civil War Veterans Monument,Norwalk,Huron County,,1924,Wooster-Hoalt Woman s Relief Corps No. 143,http://www.hmdb.org/m.asp?m=147156
Christ Church,Pensacola,Escambia County,405 South Adams Street,1963,Florida Board of Parks and Historic Memorials,http://www.hmdb.org/m.asp?m=147171
Jackson at Harpers Ferry,Harpers Ferry,Jefferson County,37 West Washington Street,,West Virginia Civil War Trails,http://www.hmdb.org/m.asp?m=147177
Historic Franklin Masonic Hall,Franklin,Williamson County,115 2nd Avenue South,,Tennessee Civil War Trails,http://www.hmdb.org/m.asp?m=147247
Littlestown,Littlestown,Adams County,10 S Queen St,,Pennsylvania Civil War Trails,http://www.hmdb.org/m.asp?m=147271
Adams County Almshouse,Gettysburg,Adams County,670 Old Harrisburg Rd,,,http://www.hmdb.org/m.asp?m=147275
Town Square,Emmitsburg,Frederick County,22 S Seton Ave,,Maryland Heritage Area Authority,http://www.hmdb.org/m.asp?m=147279
Daughters of Charity,Emmitsburg,Frederick County,339 South Seton Avenue,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=147294
St. Josephs Valley Camp,Emmitsburg,Frederick County,339 South Seton Avenue,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=147295
Gen. John F. Reynolds,Emmitsburg,Frederick County,339 South Seton Avenue,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=147296
Why Was Fort Buhlow Built?,Pineville,Rapides Parish,135 Riverfront Street,,,http://www.hmdb.org/m.asp?m=147326
How Fort Buhlow was built,Pineville,Rapides Parish,135 Riverfront Street,,,http://www.hmdb.org/m.asp?m=147330
Town of Montgomery Civil War Monument,Walden,Orange County,1 Municipal Square,1890,Town of Montgomery. New York,http://www.hmdb.org/m.asp?m=147384
Capers Memorial CME Church,Nashville,Davidson County,319 15th Avenue North,,Tennessee Historical Commission,http://www.hmdb.org/m.asp?m=147462
Who was stationed at Fort Buhlow?,Pineville,Rapides Parish,135 Riverfront Street,,,http://www.hmdb.org/m.asp?m=147588
Clover Bottom Farm,Nashville,Davidson County,2941 Lebanon Pike,,Tennessee Civil War Trails,http://www.hmdb.org/m.asp?m=147621
Northville War Memorial,Northville,Fulton County,113 North Main Street,1927,Citizens of the Town of Northampton,http://www.hmdb.org/m.asp?m=147671
Confederate Cemetery,Hermitage,Davidson County,4401 Lebanon Pike,,Tennessee Historical Commission,http://www.hmdb.org/m.asp?m=147676
Surrender of Nashville East Bank of the Cumberland,Nashville,Davidson County,,2017,The Historical Commission of Metropolitan Nashville and Davidson County,http://www.hmdb.org/m.asp?m=147722
The Rock on Brightwood Avenue,Brightwood,Washington,,2008,Cultural Tourism DC,http://www.hmdb.org/m.asp?m=147739
Post-Emancipation Violence in America / Lynching and the Subversion of Legal Rights,Nashville,Davidson County,222 1st Ave N,2019,Equal Justice Initiative,http://www.hmdb.org/m.asp?m=147755
Carringtons Battery - Joness Artillery Battalion,Gettysburg,Adams County,,1910,Gettysburg National Military Park Commission,http://www.hmdb.org/m.asp?m=147777
War at our Doorstep,Mount Vernon,Fairfax County,3200 Mount Vernon Hwy,,,http://www.hmdb.org/m.asp?m=147908
Home of George and Martha Washington / See Mount Vernon From The Water!,Mount Vernon,Fairfax County,3200 Mount Vernon Hwy,,,http://www.hmdb.org/m.asp?m=147909
Town of Hoosick Civil War Memorial,Hoosick Falls,Rensselaer County,,1878,Veteran Soldiers Assocation of Hoosick Falls,http://www.hmdb.org/m.asp?m=147934
Do You See 7 States?,Lookout Mountain,Walker County,1400 Patten Rd,,Rock City,http://www.hmdb.org/m.asp?m=147948
Martin Freeman,Lake Charles,Calcasieu Parish,,,,http://www.hmdb.org/m.asp?m=147971
Charles W. Anderson,Lake Charles,Calcasieu Parish,,1998,,http://www.hmdb.org/m.asp?m=147974
Streights Raid,Palmyra,Montgomery County,,,Tennessee Historical Commission,http://www.hmdb.org/m.asp?m=147980
Deserting soldiers and the end of the war,Pineville,Rapides Parish,135 Riverfront Street,,,http://www.hmdb.org/m.asp?m=148002
Who was Fort Buhlow named after?,Pineville,Rapides Parish,135 Riverfront Street,,,http://www.hmdb.org/m.asp?m=148005
Camp Trousdale,Portland,Sumner County,,,Tennessee Historical Commission,http://www.hmdb.org/m.asp?m=148012
Big South Tunnel,Gallatin,Sumner County,,,Tennessee Historical Commission,http://www.hmdb.org/m.asp?m=148022
Braehead,Fredericksburg,Fredericksburg,123 Lee Dr,,,http://www.hmdb.org/m.asp?m=148033
Ravaged Town,Fredericksburg,Fredericksburg,649 Hanover St,,Fredericksburg Economic Development and Tourism Office,http://www.hmdb.org/m.asp?m=148035
Maryes Heights,Fredericksburg,Fredericksburg,649 Hanover St,,Fredericksburg Economic Development and Tourism Office,http://www.hmdb.org/m.asp?m=148044
The Canal Ditch,Fredericksburg,Fredericksburg,649 Hanover St,,Fredericksburg Economic Development and Tourism Office,http://www.hmdb.org/m.asp?m=148045
Civil War Earthworks,Fredericksburg,Fredericksburg,,,University of Mary Washington,http://www.hmdb.org/m.asp?m=148048
Historic Footsteps,Fredericksburg,Fredericksburg,220 William St,,Fredericksburg Economic Development and Tourism Office,http://www.hmdb.org/m.asp?m=148053
Market Square,Fredericksburg,Fredericksburg,909 Princess Anne St,,Fredericksburg Economic Development and Tourism Office,http://www.hmdb.org/m.asp?m=148056
The Court House,Fredericksburg,Fredericksburg,817 Princess Anne St,,Fredericksburg Economic Development and Tourism Office,http://www.hmdb.org/m.asp?m=148061
A Vast Hospital,Fredericksburg,Fredericksburg,817 Princess Anne St,,Fredericksburg Economic Development and Tourism Office,http://www.hmdb.org/m.asp?m=148062
A Sacked and Gutted Town,Fredericksburg,Fredericksburg,817 Princess Anne St,,Fredericksburg Economic Development and Tourism Office,http://www.hmdb.org/m.asp?m=148064
War Comes to Fredericksburg,Fredericksburg,Fredericksburg,817 Princess Anne St,,Fredericksburg Economic Development and Tourism Office,http://www.hmdb.org/m.asp?m=148066
1862,Fredericksburg,Fredericksburg,909 Sophia St,,Mirinda Reynolds,http://www.hmdb.org/m.asp?m=148069
Constitutional Crisis,Fredericksburg,Fredericksburg,200 William St,,Fredericksburg Economic Development and Tourism Office,http://www.hmdb.org/m.asp?m=148072
Moncure Conway House,Falmouth,Stafford County,303 King St,,Virginia Civil War Trails,http://www.hmdb.org/m.asp?m=148080
First Christian Church of Garland,Garland,Dallas County,115 South Glenbrook Drive,2000,Texas Historical Commission,http://www.hmdb.org/m.asp?m=148088
Alfred Madison Hightower,North Richland Hills,Tarrant County,6704 Smithfield Road,1991,Texas Historical Commission,http://www.hmdb.org/m.asp?m=148160
Gettysburg Campaign,New Oxford,Adams County,,,,http://www.hmdb.org/m.asp?m=148166
Kady Brownell,Carlisle,Cumberland County,950 Soldiers Drive,,U.S. Army Heritage and Education Center,http://www.hmdb.org/m.asp?m=148170
The 15th Corps Sector,Atlanta,Fulton County,,1956,Georgia Historical Commission,http://www.hmdb.org/m.asp?m=148182
The March to the Sea,Stone Mountain,DeKalb County,,2010,Georgia Historical Society,http://www.hmdb.org/m.asp?m=148183
Hardwick Civil War Monument,Hardwick,Worcester County,,1889,Col. Louis E. Granger,http://www.hmdb.org/m.asp?m=148233
John Wilkes Booth s Escape,Penn Quarter,Washington,918 F Street Northwest,,Cultural Tourism DC,http://www.hmdb.org/m.asp?m=148286
Davies Manor,Bartlett,Shelby County,,,Tennessee Historical Commission,http://www.hmdb.org/m.asp?m=148287
Dover Under Fire,Dover,Stewart County,,,National Park Service. U.S. Department of the Interior,http://www.hmdb.org/m.asp?m=148359
